theme_name,theme_id
Angry Birds™,1
Architecture,2
BOOST,3
Blue's Helicopter Pursuit,4
BrickHeadz,5
Carnotaurus Gyrosphere Escape,6
City,7
Classic,8
Creator 3-in-1,9
Creator Expert,10
DC Comics™ Super Heroes,11
DC Super Hero Girls,12
DIMENSIONS™,13
DUPLO®,14
Dilophosaurus Outpost Attack,15
Disney™,16
Elves,17
Friends,18
Ghostbusters™,19
Ideas,20
Indoraptor Rampage at Lockwood Estate,21
Juniors,22
Jurassic Park Velociraptor Chase,23
LEGO® Creator 3-in-1,24
MINDSTORMS®,25
Marvel Super Heroes,26
Minecraft™,27
Minifigures,28
NEXO KNIGHTS™,29
NINJAGO®,30
Power Functions,31
Pteranodon Chase,32
SERIOUS PLAY®,33
Speed Champions,34
Star Wars™,35
Stygimoloch Breakout,36
T. rex Transport,37
THE LEGO® BATMAN MOVIE,38
THE LEGO® NINJAGO® MOVIE™,39
Technic,40
Unknown Theme,41
